"ProductID";"PartNumber";"Description"
249;"hx25t03";"2.5"" red peony w/crackling chrys pistil"
250;"hx25t04";"2.5"" purple peony w/crackling chrys pistil"
251;"hx25t05";"2.5"" blue peony w/crackling chrys pistil"
252;"hx25t06";"2.5"" green peony w/crackling chrys pistil"
253;"hx25t10";"2.5"" sky blue peony w/white strobe pistil"
254;"hx25t12";"2.5"" time rain willow"
255;"hx3t01";"3"" golden spangle chrys to blue"
256;"hx3t02";"3"" magenta peony"
257;"hx3t03";"3"" magenta dahlia"
258;"hx3t04";"3"" nightsnow to lemon"
259;"hx3t05";"3"" golden glittering willow"
260;"hx3t06";"3"" blue peony"
261;"hx3t07";"3"" time rain willow"
262;"hx3t08";"3"" green glittering waterfall"
263;"hx3t09";"3"" red glittering waterfall"
264;"hx3t10";"3"" green peony"
265;"hx3t11";"3"" multicolor peony"
266;"hx3t12";"3"" goldwave to red ring"
267;"hx3t13";"3"" red flower wave ring w/yellow pistil"
268;"hx3t14";"3"" silver wave"
269;"hx3t15";"3"" crackling brocade crown"
270;"hx3t16";"3"" smile face"
271;"hx3t17";"3"" silver crackling coconut"
272;"hx3t18";"3"" salute, ti w/silver tail"
273;"hx3t19";"3"" golden willow to blue"
274;"hx3t20";"3"" purple dahlia w/white strobe pistil"
275;"hx3t22";"3"" purple peony w/green pistil"
276;"hx3t23";"3"" nightsnow"
277;"hx3t24";"3"" violet peony"
278;"hx3t25";"3"" red peony"
279;"hx3t26";"3"" orange strobe mine"
280;"hx3t27";"3"" white wave"
281;"hx3t28";"3"" red to white strobe peony"
282;"hx3t29";"3"" chrys to white strobe"
283;"hx3t31";"3"" blue chrys"
284;"hx3t33";"3"" blue cycas"
285;"hx3t34";"3"" brocade crown to silver strobe"
286;"hx3t35";"3"" red glittering willow"
287;"hx3t36";"3"" seablue (aqua) peony"
288;"hx3t37";"3"" purple wave crossette"
289;"hx3t38";"3"" nightsnow w/green strobe pistil"
290;"hx4n01";"4"" blue to chrys w/chrys flower pistil"
291;"hx4n02";"4"" red coconut crossette w/chrys pistil"
292;"hx4n03";"4"" silver strobe waterfall"
293;"hx4n04";"4"" red to chrys flower - loud"
294;"hx4t01";"4"" red meteor w/blue pistil"
